Unnamed: 0,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
México,4,3,1,1,1,3,2,1,Grupo A,2010
España,6,3,2,0,1,4,2,2,Grupo H,2010
Inglaterra,5,3,1,2,0,2,1,1,Grupo C,2010
Italia,2,3,0,2,1,4,5,–1,Grupo F,2010
Nigeria,1,3,0,1,2,3,5,–2,Grupo B,2010
Dinamarca,3,3,1,0,2,3,6,–3,Grupo E,2010
Portugal,5,3,1,2,0,7,0,7,Grupo G,2010
Francia,1,3,0,1,2,1,4,–3,Grupo A,2010
Costa de Marfil,4,3,1,1,1,4,3,1,Grupo G,2010
Nueva Zelanda,3,3,0,3,0,2,2,0,Grupo F,2010
Japón,6,3,2,0,1,4,2,2,Grupo E,2010
México,7,3,2,1,0,4,1,3,Grupo A,2014
Colombia,9,3,3,0,0,9,2,7,Grupo C,2014
Suiza,6,3,2,0,1,7,6,1,Grupo E,2014
Croacia,3,3,1,0,2,6,6,0,Grupo A,2014
Honduras,0,3,0,0,3,1,8,–7,Grupo E,2014
Costa Rica,7,3,2,1,0,4,1,3,Grupo D,2014
Inglaterra,1,3,0,1,2,2,4,–2,Grupo D,2014
Chile,6,3,2,0,1,5,3,2,Grupo B,2014
Australia,0,3,0,0,3,3,9,–6,Grupo B,2014
Corea del Sur,1,3,0,1,2,3,6,–3,Grupo H,2014
Bosnia y Herzegovina,3,3,1,0,2,4,4,0,Grupo F,2014
Japón,1,3,0,1,2,2,6,–4,Grupo C,2014
Países Bajos,9,3,3,0,0,10,3,7,Grupo B,2014
Irán,1,3,0,1,2,1,4,–3,Grupo F,2014
Argentina,9,3,3,0,0,6,3,3,Grupo F,2014
Grecia,4,3,1,1,1,2,4,–2,Grupo C,2014
Argelia,4,3,1,1,1,6,5,1,Grupo H,2014
Italia,3,3,1,0,2,2,3,–1,Grupo D,2014
Brasil,7,3,2,1,0,7,2,5,Grupo A,2014
Uruguay,6,3,2,0,1,4,4,0,Grupo D,2014
Portugal,4,3,1,1,1,4,7,–3,Grupo G,2014
Ghana,1,3,0,1,2,4,6,–2,Grupo G,2014
España,3,3,1,0,2,4,7,–3,Grupo B,2014
